starting_number,sequence_length,max_value,steps_to_peak,total_steps,peak_value,execution_time,timestamp
307,38,1384,3,37,1384,5.7220458984375e-06,2025-09-02 21:49:00.207935
308,25,308,0,24,308,4.0531158447265625e-06,2025-09-02 21:49:00.207941
309,25,928,1,24,928,4.291534423828125e-06,2025-09-02 21:49:00.207947
310,87,9232,52,86,9232,1.2874603271484375e-05,2025-09-02 21:49:00.207966
311,87,9232,52,86,9232,1.1920928955078125e-05,2025-09-02 21:49:00.207983
312,38,312,0,37,312,5.7220458984375e-06,2025-09-02 21:49:00.207991
313,131,9232,96,130,9232,2.09808349609375e-05,2025-09-02 21:49:00.208017
314,38,472,2,37,472,5.0067901611328125e-06,2025-09-02 21:49:00.208026
315,38,1600,8,37,1600,6.198883056640625e-06,2025-09-02 21:49:00.208034
316,38,808,9,37,808,5.9604644775390625e-06,2025-09-02 21:49:00.208042
317,38,952,1,37,952,5.7220458984375e-06,2025-09-02 21:49:00.208050
318,56,9232,21,55,9232,8.821487426757812e-06,2025-09-02 21:49:00.208062
319,56,9232,21,55,9232,8.106231689453125e-06,2025-09-02 21:49:00.208073
320,12,320,0,11,320,9.5367431640625e-07,2025-09-02 21:49:00.208076
321,25,964,1,24,964,4.0531158447265625e-06,2025-09-02 21:49:00.208082
322,100,9232,65,99,9232,1.52587890625e-05,2025-09-02 21:49:00.208102
323,100,9232,65,99,9232,1.5020370483398438e-05,2025-09-02 21:49:00.208121
324,25,324,0,24,324,4.0531158447265625e-06,2025-09-02 21:49:00.208127
325,25,976,1,24,976,3.0994415283203125e-06,2025-09-02 21:49:00.208132
326,25,736,4,24,736,3.0994415283203125e-06,2025-09-02 21:49:00.208138
327,144,9232,109,143,9232,2.09808349609375e-05,2025-09-02 21:49:00.208164
328,113,9232,78,112,9232,1.621246337890625e-05,2025-09-02 21:49:00.208185
329,51,1672,8,50,1672,7.152557373046875e-06,2025-09-02 21:49:00.208195
330,113,9232,78,112,9232,1.5974044799804688e-05,2025-09-02 21:49:00.208216
331,25,1492,3,24,1492,2.86102294921875e-06,2025-09-02 21:49:00.208222
332,113,9232,78,112,9232,1.621246337890625e-05,2025-09-02 21:49:00.208243
333,113,9232,78,112,9232,1.5974044799804688e-05,2025-09-02 21:49:00.208264
334,69,9232,34,68,9232,9.775161743164062e-06,2025-09-02 21:49:00.208277
335,69,9232,34,68,9232,1.0013580322265625e-05,2025-09-02 21:49:00.208290
336,12,336,0,11,336,1.1920928955078125e-06,2025-09-02 21:49:00.208294
337,113,9232,78,112,9232,3.409385681152344e-05,2025-09-02 21:49:00.208334
338,51,4372,17,50,4372,7.152557373046875e-06,2025-09-02 21:49:00.208345
339,51,4372,17,50,4372,7.867813110351562e-06,2025-09-02 21:49:00.208356
340,12,340,0,11,340,1.9073486328125e-06,2025-09-02 21:49:00.208360
341,12,1024,1,11,1024,2.1457672119140625e-06,2025-09-02 21:49:00.208364
342,126,9232,91,125,9232,2.7894973754882812e-05,2025-09-02 21:49:00.208397
343,126,9232,91,125,9232,1.7881393432617188e-05,2025-09-02 21:49:00.208421
344,33,344,0,32,344,4.0531158447265625e-06,2025-09-02 21:49:00.208428
